column,type,nullable,description
run_id,string,false,Execution identifier
signal_id,string,false,Candidate identifier
outcome_time,datetime,false,Resolution time
outcome,enum,false,TP_FIRST SL_FIRST EXPIRED AMBIGUOUS or TRUNCATED
label_tp_before_sl,int,true,1 for TP_FIRST 0 for SL_FIRST otherwise empty
bars_to_outcome,int,false,Elapsed M5 bars
seconds_to_outcome,long,false,Elapsed seconds
mfe_pips,double,false,Maximum favorable excursion
mae_pips,double,false,Maximum adverse excursion
mfe_r,double,false,MFE divided by initial candidate risk
mae_r,double,false,MAE divided by initial candidate risk
outcome_tracker_version,string,false,Tracker implementation version
